     0 session.created                         {"channel": "browser_voice"}
   317 provider.session_created                {"provider": "openai_realtime", "model": "gpt-realtime"}
   317 state.changed                           dialog:IDLE->LISTENING [session_started]
   318 session.started                         {}
   318 state.changed                           activity:OPENING->ENGAGED [opened]
  2625 user.speech_started                     {"detector": "silero"}
  8144 user.speech_committed            turn_1 {"turn_id": "turn_1", "speech_ms": 4340}
  8144 state.changed                    turn_1 dialog:LISTENING->THINKING [end_of_turn]
  8144 state.changed                    turn_1 activity:ENGAGED->COLLECTING [field_needed]
  8232 assistant.response_started       turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9"}
  8232 state.changed                    turn_1 dialog:THINKING->SPEAKING [response_started]
  8234 transport.playout_started        turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9"}
  8923 user.transcript                  turn_1 {"text_len": 63, "text_sha256_12": "e8e3024e6eef"}
  9449 user.speech_started              turn_1 {"detector": "silero"}
  9527 user.speech_started              turn_1 {"detector": "silero", "barge_in": true}
  9528 interruption.detected            turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9", "audio_ms_sent": 4250, "after_generation": false}
  9528 state.changed                    turn_1 dialog:SPEAKING->INTERRUPTED [barge_in]
  9529 assistant.response_cancelled     turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9", "t2_ms": 9529}
  9531 assistant.response_truncated     turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9", "audio_end_ms": 1292}
  9532 transport.playout_stopped        turn_1 {"response_id": "resp_ERR8c4JWa90JIp4CdiJu9", "client_ts_ms": null}
 13848 state.changed                    turn_1 dialog:INTERRUPTED->LISTENING [reconciled]
 13849 user.speech_committed            turn_2 {"turn_id": "turn_2", "speech_ms": 3160}
 13849 state.changed                    turn_2 dialog:LISTENING->THINKING [end_of_turn]
 13849 state.changed                    turn_2 activity:COLLECTING->ENGAGED [user_engaged]
 13850 state.changed                    turn_2 activity:ENGAGED->COLLECTING [field_needed]
 13912 assistant.response_started       turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm"}
 13912 state.changed                    turn_2 dialog:THINKING->SPEAKING [response_started]
 13913 transport.playout_started        turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm"}
 14480 user.transcript                  turn_2 {"text_len": 36, "text_sha256_12": "8670581caf81"}
 14712 user.speech_started              turn_2 {"detector": "silero"}
 14790 user.speech_started              turn_2 {"detector": "silero", "barge_in": true}
 14790 interruption.detected            turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm", "audio_ms_sent": 2250, "after_generation": false}
 14790 state.changed                    turn_2 dialog:SPEAKING->INTERRUPTED [barge_in]
 14791 assistant.response_cancelled     turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm", "t2_ms": 14791}
 14793 assistant.response_truncated     turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm", "audio_end_ms": 876}
 14795 transport.playout_stopped        turn_2 {"response_id": "resp_ERR8hukYskThJPhHpYECm", "client_ts_ms": null}
 20651 state.changed                    turn_2 dialog:INTERRUPTED->LISTENING [reconciled]
 20651 user.speech_committed            turn_3 {"turn_id": "turn_3", "speech_ms": 4700}
 20651 state.changed                    turn_3 dialog:LISTENING->THINKING [end_of_turn]
 20651 state.changed                    turn_3 activity:COLLECTING->ENGAGED [user_engaged]
 20652 state.changed                    turn_3 activity:ENGAGED->COLLECTING [field_needed]
 20714 assistant.response_started       turn_3 {"response_id": "resp_ERR8oAdhNbDJ4ciKLDwNT"}
 20714 state.changed                    turn_3 dialog:THINKING->SPEAKING [response_started]
 20716 transport.playout_started        turn_3 {"response_id": "resp_ERR8oAdhNbDJ4ciKLDwNT"}
 21237 state.changed                    turn_3 dialog:SPEAKING->WAITING_TOOL [tool_requested]
 21238 tool.requested                   turn_3 {"call_id": "call_rXTVCC1Z6qhOEmTI", "tool_id": "record_field", "step": "received"}
 21238 tool.execution_started           turn_3 {"call_id": "call_rXTVCC1Z6qhOEmTI", "tool_id": "record_field"}
 21238 tool.execution_completed         turn_3 {"call_id": "call_rXTVCC1Z6qhOEmTI", "tool_id": "record_field", "provenance": "USER_STATED", "latency_ms": 0}
 21239 decision.made                    turn_3 {"kind": "validate_field", "field": "address", "source": "RULE", "ok": true}
 21239 field.recorded                   turn_3 {"name": "address", "provenance": "USER_STATED"}
